config,run,success,elapsed_seconds,wall_seconds
manual,1,True,0.4271255760013446,0.5913474799999676
manual,2,True,0.41962473499916086,0.5843170440002723
manual,3,True,0.4181393790004222,0.5824222350001946
manual,4,True,0.4206777380004496,0.5850630439999804
manual,5,True,0.42058894600086205,0.5849831380000978
manual,6,True,0.41462292699907266,0.6292084729993803
manual,7,True,0.4131201100008184,0.5772500469993247
manual,8,True,0.4176365369985433,0.5819056250002177
manual,9,True,0.4182025469999644,0.5822366100001091
manual,10,True,0.41799221499968553,0.5823301279997395
manual,11,True,0.4178207580007438,0.5819805340015591
manual,12,True,0.4180178530004923,0.5822146179998526
manual,13,True,0.4179873299999599,0.5820909960002609
manual,14,True,0.41757857499942475,0.5817736529988906
manual,15,True,0.4205449500004761,0.5850338290001673
manual,16,True,0.417718717999378,0.6324750090007001
manual,17,True,0.415736458999163,0.5799071630008257
manual,18,True,0.4184100619986566,0.633079994999207
manual,19,True,0.4136748629989597,0.5778573549996509
manual,20,True,0.4168706700002076,0.6312295919997268
docker,1,True,0.6178307629998017,1.5462899619997188
docker,2,True,0.6222797660011565,1.580615132001185
docker,3,True,0.6234959159992286,1.5294704789994285
docker,4,True,0.621611512000527,1.527860336998856
docker,5,True,0.620444131000113,1.5547085279995372
docker,6,True,0.6206722590013669,1.5351867340013996
docker,7,True,0.6174827880004159,1.529374674999417
docker,8,True,0.6212672569999995,1.543618523000987
docker,9,True,0.6208656399994652,1.5255631560012262
docker,10,True,0.6223839089998364,1.5491702200015425
docker,11,True,0.6197718669991445,1.5600810279993311
docker,12,True,0.4150234979988454,1.2943619369998487
docker,13,True,0.41710179800065816,1.2733886480000365
docker,14,True,0.4144296859994938,1.310068508000768
docker,15,True,0.41797189300086757,1.3802178740006639
docker,16,True,0.4184746440005256,1.4188200720000168
docker,17,True,0.41642973399939365,1.3825024829984613
docker,18,True,0.41537543999947957,1.2667861350000749
docker,19,True,0.41913792199920863,1.3806369040012214
docker,20,True,0.41926526600036595,1.3871491809986765
full_pipeline,1,True,0.42908610999984376,1.5522278170010395
full_pipeline,2,True,0.42109418700056267,1.524432424999759
full_pipeline,3,True,0.4284808470001735,1.5601612000009482
full_pipeline,4,True,0.4289581470002304,1.5647666709992336
full_pipeline,5,True,0.42218057199897885,1.497363239999686
full_pipeline,6,True,0.42340009299914527,1.5524283830000059
full_pipeline,7,True,0.4266305609999108,1.5485579870000947
full_pipeline,8,True,0.4252593210003397,1.5471352889999253
full_pipeline,9,True,0.4254009100004623,1.5276288160002878
full_pipeline,10,True,0.4295496689992433,1.564871803000642
full_pipeline,11,True,0.4237180880008964,1.5607448110004043
full_pipeline,12,True,0.4215807530017628,1.5500757170011639
full_pipeline,13,True,0.4221841630005656,1.4847666929999832
full_pipeline,14,True,0.4228737359990191,1.636401264999222
full_pipeline,15,True,0.4302877249992889,1.5797381289994519
full_pipeline,16,True,0.42549529899952176,1.5629239499994583
full_pipeline,17,True,0.43006134499955806,1.52508232999935
full_pipeline,18,True,0.4239168829990376,1.5599963450003997
full_pipeline,19,True,0.42181357499976,1.580858448998697
full_pipeline,20,True,0.429595497000264,1.556802177999998
docker_cicd,1,False,,0.945246732000669
docker_cicd,2,True,52.159729455999695,62.551539883999794
docker_cicd,3,True,50.784728055001324,60.84171733899893
docker_cicd,4,True,55.36240610999994,65.58054606900077
docker_cicd,5,True,54.572759360999044,64.71710975899987
docker_cicd,6,True,47.13228391499979,57.38402300100097
docker_cicd,7,True,44.40356147899911,55.08890630299902
docker_cicd,8,True,47.19929156500075,57.58937263400003
