app_cpu_mean,app_mem_mb_mean,cadvisor_cpu_mean,cadvisor_mem_mb_mean,case,error_rate,grafana_cpu_mean,grafana_mem_mb_mean,mean_latency_ms,p95_latency_ms,prometheus_cpu_mean,prometheus_mem_mb_mean,run,throughput_rps,wall_seconds
10.62,35.51,,,docker,0.0,,,3.7932568899850594,4.588973999489099,,,1,2534.676165307722,0.11835831500138738
8.72,35.99,,,docker,0.0,,,3.240332283312455,4.51251000049524,,,2,2952.204953168559,0.10161896099998557
9.07,35.43,,,docker,0.0,,,3.417299783274454,4.865274000621866,,,3,2799.6330613894443,0.10715690000142786
15.85,36.34,,,docker,0.0,,,3.2457015433586394,5.007120000300347,,,4,2928.134444936209,0.10245431200019084
9.32,35.9,,,docker,0.0,,,3.5393398133176865,6.673124998997082,,,5,2712.6865622802916,0.11059147200103325
10.1,35.96,,,docker,0.0,,,3.78252641667738,6.0013510010321625,,,6,2516.5207490431553,0.1192122099982953
10.48,36.47,,,docker,0.0,,,3.951842006620912,7.362652000665548,,,7,2426.7236830161223,0.1236234690004494
9.65,36.32,,,docker,0.0,,,3.6676543300442668,6.246212000405649,,,8,2640.970609488038,0.11359460000130639
18.31,35.71,,,docker,0.0,,,3.8445234099284185,5.927382999288966,,,9,2504.9953573688485,0.11976070099990466
9.51,36.18,,,docker,0.0,,,3.4797657433409768,4.867356999966432,,,10,2783.6361462400973,0.10777270600010525
9.38,36.72,,,docker,0.0,,,3.411270553333452,3.9457840011891676,,,11,2834.7180237676343,0.10583063200101606
9.64,36.29,,,docker,0.0,,,3.5201848500158426,4.586909999488853,,,12,2745.296170617391,0.10927782700127864
8.3,36.75,,,docker,0.0,,,3.0980019433385073,4.285512999558705,,,13,3110.5390392344148,0.09644630599905213
16.22,36.36,,,docker,0.0,,,3.074095949941693,3.9927620000526076,,,14,3116.035069743885,0.09627619499951834
8.66,36.52,,,docker,0.0,,,3.27585570995628,4.079876000105287,,,15,2915.924677237315,0.10288331599986122
9.17,35.82,,,docker,0.0,,,3.3993214199532913,4.742693001389853,,,16,2812.372248001356,0.10667151199959335
8.84,36.62,,,docker,0.0,,,3.3872800033047192,4.836899999645539,,,17,2819.5182920614593,0.10640115400019567
9.37,36.3,,,docker,0.0,,,3.5289661766485856,4.849933999139466,,,18,2691.3614993381407,0.11146774599910714
18.66,35.59,,,docker,0.0,,,3.9822902966564775,6.413316001271596,,,19,2424.5487696435493,0.12373436400048377
10.43,35.47,,,docker,0.0,,,3.906770986741321,6.715835001159576,,,20,2470.8344146833097,0.12141647300086333
7.8,35.64,11.2,30.65,docker_prometheus,0.0,,,3.310550353313981,4.863881000346737,0.0,48.66,1,2864.353170649109,0.10473568799898203
8.58,35.21,4.03,30.73,docker_prometheus,0.0,,,3.2593106133026595,5.0787250002031215,0.07,51.39,2,2951.725881044134,0.10163545399882423
0.12,35.29,9.65,37.97,docker_prometheus,0.0,,,3.51377565661096,5.151510998985032,0.1,53.7,3,2722.0310852400416,0.11021181999967666
0.33,35.31,3.17,39.17,docker_prometheus,0.0,,,3.2970939832133204,4.825899999559624,3.57,55.73,4,2892.7042479580646,0.10370918499938853
9.61,35.79,10.15,41.97,docker_prometheus,0.0,,,3.578215339991099,5.579307000516565,1.35,59.22,5,2675.2657078170255,0.1121383940007945
